emp_no,birth_date,first_name,last_name,gender,hire_date,emp_no,title,from_date,to_date
10001,1953-09-02,Georgi,Facello,M,1986-06-26,10001,"Senior Engineer",1986-06-26,9999-01-01
10003,1959-12-03,Parto,Bamford,M,1986-08-28,10003,"Senior Engineer",1995-12-03,9999-01-01
10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,10004,"Senior Engineer",1995-12-01,9999-01-01
10006,1953-04-20,Anneke,Preusig,F,1989-06-02,10006,"Senior Engineer",1990-08-05,9999-01-01
10009,1952-04-19,Sumant,Peac,F,1985-02-18,10009,"Senior Engineer",1995-02-18,9999-01-01
10012,1960-10-04,Patricio,Bridgland,M,1992-12-18,10012,"Senior Engineer",2000-12-18,9999-01-01
10018,1954-06-19,Kazuhide,Peha,F,1987-04-03,10018,"Senior Engineer",1995-04-03,9999-01-01
10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20,10026,"Senior Engineer",2001-03-19,9999-01-01
10027,1962-07-10,Divier,Reistad,F,1989-07-07,10027,"Senior Engineer",2001-04-01,9999-01-01
10029,1956-12-13,Otmar,Herbst,M,1985-11-20,10029,"Senior Engineer",2000-09-17,9999-01-01
10030,1958-07-14,Elvis,Demeyer,M,1994-02-17,10030,"Senior Engineer",2001-02-17,9999-01-01
10031,1959-01-27,Karsten,Joslin,M,1991-09-01,10031,"Senior Engineer",1998-09-01,9999-01-01
10032,1960-08-09,Jeong,Reistad,F,1990-06-20,10032,"Senior Engineer",1995-06-20,9999-01-01
10035,1953-02-08,Alain,Chappelet,M,1988-09-05,10035,"Senior Engineer",1996-09-05,9999-01-01
10037,1963-07-22,Pradeep,Makrucki,M,1990-12-05,10037,"Senior Engineer",1995-12-05,9999-01-01
10040,1959-09-13,Weiyi,Meriste,F,1993-02-14,10040,"Senior Engineer",1999-02-14,9999-01-01
10043,1960-09-19,Yishay,Tzvieli,M,1990-10-20,10043,"Senior Engineer",1997-10-20,9999-01-01
10047,1952-06-29,Zvonko,Nyanchama,M,1989-03-31,10047,"Senior Engineer",1998-03-31,9999-01-01
10051,1953-07-28,Hidefumi,Caine,M,1992-10-15,10051,"Senior Engineer",1998-10-15,9999-01-01
10056,1961-09-01,Brendon,Bernini,F,1990-02-01,10056,"Senior Engineer",1999-02-01,9999-01-01
10057,1954-05-30,Ebbe,Callaway,F,1992-01-15,10057,"Senior Engineer",2000-01-15,9999-01-01
10062,1961-11-02,Anoosh,Peyn,M,1991-08-30,10062,"Senior Engineer",1999-08-30,9999-01-01
10063,1952-08-06,Gino,Leonhardt,F,1989-04-08,10063,"Senior Engineer",1989-04-08,9999-01-01
10066,1952-11-13,Kwee,Schusler,M,1986-02-26,10066,"Senior Engineer",1998-02-25,9999-01-01
10067,1953-01-07,Claudi,Stavenow,M,1987-03-04,10067,"Senior Engineer",1996-03-03,9999-01-01
10072,1952-05-15,Hironoby,Sidou,F,1988-07-21,10072,"Senior Engineer",1995-05-21,9999-01-01
10075,1960-03-09,Gao,Dolinsky,F,1987-03-19,10075,"Senior Engineer",1988-05-17,2001-01-15
10076,1952-06-13,Erez,Ritzmann,F,1985-07-09,10076,"Senior Engineer",1996-07-15,9999-01-01
10081,1960-12-17,Zhongwei,Rosen,M,1986-10-30,10081,"Senior Engineer",1991-10-30,9999-01-01
10083,1959-07-23,Vishv,Zockler,M,1987-03-31,10083,"Senior Engineer",1994-03-31,9999-01-01
10084,1960-05-25,Tuval,Kalloufi,M,1995-12-15,10084,"Senior Engineer",2001-12-14,9999-01-01
10085,1962-11-07,Kenroku,Malabarba,M,1994-04-09,10085,"Senior Engineer",1994-04-09,9999-01-01
10090,1961-05-30,Kendra,Hofting,M,1986-03-14,10090,"Senior Engineer",1986-03-14,1999-05-07
10091,1955-10-04,Amabile,Gomatam,M,1992-11-18,10091,"Senior Engineer",2001-11-18,9999-01-01
10098,1961-09-23,Sreekrishna,Servieres,F,1985-05-13,10098,"Senior Engineer",1992-05-13,1992-12-11
10106,1952-08-29,Eben,Aingworth,M,1990-12-19,10106,"Senior Engineer",1997-10-26,9999-01-01
10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16,10109,"Senior Engineer",2001-06-16,9999-01-01
10111,1963-08-29,Hugo,Rosis,F,1988-06-19,10111,"Senior Engineer",1996-12-19,9999-01-01
10116,1955-08-26,Dayanand,Czap,F,1985-05-28,10116,"Senior Engineer",1994-02-27,1998-11-01
10117,1961-10-24,Kiyotoshi,Blokdijk,F,1990-05-28,10117,"Senior Engineer",1992-03-19,9999-01-01
10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,10118,"Senior Engineer",1992-02-02,9999-01-01
10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,10121,"Senior Engineer",1996-05-03,9999-01-01
10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,10124,"Senior Engineer",1998-09-05,9999-01-01
10127,1952-02-24,Subir,Baja,F,1989-01-14,10127,"Senior Engineer",1991-05-17,9999-01-01
