emp_no,birth_date,first_name,last_name,gender,hire_date
999999,1986-04-21,John,Smith,M,2011-01-01
999904,1970-01-31,John,Johnson,M,2023-07-04
999903,1977-09-14,Johnathan,Creek,M,1999-01-01
999901,1990-12-31,Stella,Parkinson,F,2011-01-01
499999,1958-05-01,Sachin,Tsukuda,M,1997-11-30
499998,1956-09-05,Patricia,Breugel,M,1993-10-13
499997,1961-08-03,Berhard,Lenart,M,1986-04-21
499996,1953-03-07,Zito,Baaz,M,1990-09-27
499995,1958-09-24,Dekang,Lichtner,F,1993-01-12
499994,1952-02-26,Navin,Argence,F,1990-04-24
499993,1963-06-04,DeForest,Mullainathan,M,1997-04-07
499992,1960-10-12,Siamak,Salverda,F,1987-05-10
499991,1962-02-26,Pohua,Sichman,F,1989-01-12
499990,1963-11-03,Khaled,Kohling,M,1985-10-10
499989,1954-05-26,Keiichiro,Lindqvist,M,1993-10-28
499988,1962-09-28,Bangqing,Kleiser,F,1986-06-06
499987,1961-09-05,Rimli,Dusink,F,1998-09-20
499986,1952-07-22,Nathan,Ranta,F,1985-08-11
499985,1964-12-26,Gila,Lukaszewicz,M,1997-02-11
499984,1959-08-31,Kaijung,Rodham,M,1985-09-11
499983,1955-08-29,Uri,Juneja,F,1989-08-28
499982,1954-08-25,Mohammed,Pleszkun,M,1986-02-21
499981,1955-01-02,Yunming,Mitina,F,1991-03-07
499980,1959-06-28,Gino,Usery,M,1991-02-11
499979,1962-10-29,Prasadram,Waleschkowski,M,1994-01-04
499978,1960-03-29,Chiranjit,Kuzuoka,M,1990-05-24
499977,1956-06-05,Martial,Weisert,F,1996-09-17
499976,1963-08-20,Guozhong,Felder,M,1988-12-26
499975,1952-11-09,Masali,Chorvat,M,1992-01-23
499974,1956-09-10,Shuichi,Piazza,F,1989-09-16
499973,1963-06-03,Lobel,Taubman,M,1994-02-01
499972,1957-07-25,Katsuo,Leuchs,F,1989-11-23
499971,1963-12-28,Uwe,Uludag,M,1989-02-26
499970,1963-03-25,Danai,Hedayat,M,1994-08-06
499969,1960-09-02,Masanao,Ducloy,M,1992-02-16
499968,1959-03-07,Dharmaraja,Ertl,M,1991-10-08
499967,1954-04-21,Bangqing,Bodoff,M,1996-08-15
499966,1955-12-04,Mihalis,Crabtree,F,1985-06-13
499965,1961-12-07,Ronghao,Morrow,F,1985-05-26
499964,1958-02-24,Randy,Matzov,M,1988-11-10
499963,1962-03-14,Danny,Lenart,F,1989-08-07
499962,1956-03-28,Yongqiao,Dalton,M,1995-06-20
499961,1962-10-02,Holgard,Nanard,F,1988-07-04
499960,1952-12-02,Gaetan,Veldwijk,F,1989-09-16
499959,1956-01-29,Lillian,Setiz,M,1991-11-08
499958,1957-05-08,Srinidhi,Theuretzbacher,F,1989-12-17
499957,1956-10-08,Steen,Keohane,M,1987-02-25
499956,1959-01-08,Zhonghua,Crooks,F,1994-10-12
499955,1961-10-23,Kankanahalli,Zucker,M,1993-03-06
499954,1961-09-24,Tuval,Tempesti,M,1990-08-09
499953,1960-09-04,Leszek,Pulkowski,M,1985-02-23
499952,1953-11-19,Aron,Lindqvist,M,1990-01-07
499951,1962-08-17,Kasidit,Krohm,M,1985-03-17
499950,1964-07-15,Weidon,Gente,F,1991-06-05
499949,1962-10-21,Krister,Stranks,M,1987-01-31
499948,1953-05-24,Cordelia,Paludetto,M,1993-01-28
499947,1960-02-06,Conrado,Koyama,F,1989-02-19
499946,1956-08-10,Barton,Soicher,F,1986-02-21
499945,1958-08-12,Sivanarayana,Haddadi,M,1987-03-02
499944,1964-12-18,Bernd,Baumann,M,1988-07-03
499943,1956-08-04,Ziyad,Baaz,M,1987-09-09
499942,1963-01-10,Feiyu,Sanella,F,1997-02-10
499941,1956-10-16,Udaiprakash,Hockney,F,1994-02-04
499940,1952-02-12,Yolla,Auria,M,1986-04-25
499939,1952-02-22,Haldun,Zaumen,M,1988-11-27
499938,1960-06-30,JiYoung,Binding,F,1993-04-18
499937,1955-07-28,Pantung,Litzler,F,1987-02-03
499936,1954-02-11,Chiranjit,Himler,M,1994-10-31
499935,1963-12-18,Ymte,Perelgut,M,1991-09-27
499934,1957-02-19,Tonia,Butner,F,1991-01-02
499933,1957-10-21,Chuanti,Riesenhuber,F,1993-05-28
499932,1962-05-19,Shigeaki,Narlikar,F,1990-09-27
499931,1964-12-04,Remco,Rosar,M,1988-04-27
499930,1959-06-19,Ayakannu,Beerel,M,1988-03-23
499929,1959-11-03,Phillip,Schnabel,M,1996-05-12
499928,1961-03-17,Moni,Bale,M,1985-03-30
499927,1953-03-18,Manohar,Heemskerk,M,1988-03-13
499926,1956-10-15,Youpyo,Perfilyeva,F,1985-08-16
499925,1954-10-17,Tuval,Hardjono,M,1991-10-29
499924,1963-06-08,Angus,Swan,M,1998-08-04
499923,1964-12-21,Sergi,Melton,F,1993-04-08
499922,1953-08-25,Mitsuyuki,Doering,F,1986-07-03
499921,1958-09-25,Nigel,Solovay,M,1989-08-19
499920,1953-07-18,Christ,Murtagh,M,1986-04-17
499919,1960-04-18,Masako,Angiulli,M,1991-01-09
499918,1957-03-22,Hilary,Rodiger,M,1992-05-13
499917,1963-07-08,Kiyokazu,Fiebach,M,1986-02-24
499916,1962-01-09,Florina,Cusworth,F,1997-05-18
499915,1954-12-28,Mang,Rodite,M,1989-02-22
499914,1952-03-04,Khoa,Keirsey,F,1990-12-04
499913,1958-07-08,Masako,Heiserman,M,1991-02-28
499912,1956-06-19,Parke,Pell,F,1993-10-23
499911,1963-08-24,Satosi,Tagansky,F,1986-01-08
499910,1957-11-07,Doowon,Versino,F,1991-12-22
499909,1952-03-11,Yoshinari,Thummel,M,1990-08-07
499908,1953-07-19,Toong,Coorg,F,1988-12-02
499907,1954-04-18,Arnd,Garnham,M,1986-01-12
499906,1963-03-26,Toshimo,Kuzuoka,F,1988-04-07
499905,1952-07-13,Annemarie,Hasham,M,1990-04-10
499904,1961-08-03,Kazuhiro,Velasco,M,1992-10-28
499903,1959-06-30,Premal,Passino,M,1994-11-03
499902,1952-07-31,Aloke,Wuwongse,F,1991-06-18
499901,1963-09-12,Make,Terekhov,M,1993-12-24
499900,1956-02-09,Leon,Baba,M,1986-05-10
499899,1963-12-24,Mong,Usdin,M,1990-07-13
499898,1952-05-02,Alagu,Azuma,M,1985-09-11
499897,1964-11-11,Erez,Naudin,M,1990-07-21
499896,1963-07-23,Gianluca,Rando,M,1986-02-23
499895,1963-03-27,Raimond,Leuchs,F,1987-07-12
